ticker,expiry,snapshot_dt,HV,IV,spread,decile,position
GLD,2026-03-20,2026-03-03,0.4474,0.3945,0.053,10,LONG STRADDLE
AAPL,2026-03-20,2026-03-03,0.3322,0.3263,0.0059,10,LONG STRADDLE
MSFT,2026-03-20,2026-03-03,0.324,0.347,-0.023,9,FLAT
TLT,2026-03-20,2026-03-03,0.0915,0.1245,-0.033,8,FLAT
BAC,2026-03-20,2026-03-03,0.3249,0.3679,-0.043,8,FLAT
JPM,2026-03-20,2026-03-03,0.3046,0.3482,-0.0435,7,FLAT
NVDA,2026-03-20,2026-03-03,0.4632,0.5267,-0.0635,6,FLAT
AMZN,2026-03-20,2026-03-03,0.3345,0.4133,-0.0788,5,FLAT
IWM,2026-03-20,2026-03-03,0.2389,0.3266,-0.0876,5,FLAT
SPY,2026-03-20,2026-03-03,0.1456,0.2388,-0.0932,4,FLAT
XOM,2026-03-20,2026-03-03,0.3227,0.4168,-0.0941,3,FLAT
QQQ,2026-03-20,2026-03-03,0.1901,0.2935,-0.1034,3,FLAT
META,2026-03-20,2026-03-03,0.256,0.3851,-0.1291,2,FLAT
GOOGL,2026-03-20,2026-03-03,0.252,0.3928,-0.1408,1,SHORT STRADDLE
TSLA,2026-03-20,2026-03-03,0.3183,0.4739,-0.1557,1,SHORT STRADDLE
