ticker,expiry,snapshot_dt,HV,IV,spread,decile,position
MOH,2026-03-20,2026-03-03,1.1568,0.5318,0.6251,10,LONG STRADDLE
APP,2026-03-20,2026-03-03,1.3069,0.7867,0.5202,10,LONG STRADDLE
EPAM,2026-03-20,2026-03-03,0.9713,0.5848,0.3865,10,LONG STRADDLE
BSX,2026-03-20,2026-03-03,0.7172,0.342,0.3752,10,LONG STRADDLE
COIN,2026-03-20,2026-03-03,1.1403,0.7721,0.3682,10,LONG STRADDLE
DVA,2026-03-20,2026-03-03,0.7643,0.3997,0.3647,10,LONG STRADDLE
AKAM,2026-03-20,2026-03-03,0.7686,0.4227,0.3459,10,LONG STRADDLE
KEYS,2026-03-20,2026-03-03,0.7631,0.418,0.3451,10,LONG STRADDLE
XYZ,2026-03-20,2026-03-03,0.8523,0.5262,0.3261,9,FLAT
IQV,2026-03-20,2026-03-03,0.7297,0.455,0.2747,9,FLAT
AMD,2026-03-20,2026-03-03,0.8569,0.5991,0.2579,9,FLAT
HOOD,2026-03-20,2026-03-03,0.9891,0.735,0.2541,9,FLAT
GDDY,2026-03-20,2026-03-03,0.7535,0.5002,0.2533,9,FLAT
CBRE,2026-03-20,2026-03-03,0.6726,0.4293,0.2433,9,FLAT
CSGP,2026-03-20,2026-03-03,0.8002,0.5607,0.2396,9,FLAT
CPAY,2026-03-20,2026-03-03,0.6544,0.4242,0.2302,8,FLAT
AXON,2026-03-20,2026-03-03,0.7968,0.5752,0.2216,8,FLAT
WAT,2026-03-20,2026-03-03,0.5802,0.3744,0.2058,8,FLAT
NFLX,2026-03-20,2026-03-03,0.5881,0.3897,0.1984,8,FLAT
NCLH,2026-03-20,2026-03-03,0.8317,0.6351,0.1967,8,FLAT
DDOG,2026-03-20,2026-03-03,0.8433,0.6477,0.1956,8,FLAT
WDAY,2026-03-20,2026-03-03,0.6339,0.4965,0.1374,8,FLAT
PLTR,2026-03-20,2026-03-03,0.7142,0.585,0.1293,7,FLAT
ZBRA,2026-03-20,2026-03-03,0.6168,0.4875,0.1292,7,FLAT
SMCI,2026-03-20,2026-03-03,0.8744,0.7665,0.1079,7,FLAT
FSLR,2026-03-20,2026-03-03,0.685,0.5852,0.0998,7,FLAT
CDNS,2026-03-20,2026-03-03,0.6015,0.5038,0.0977,7,FLAT
ALGN,2026-03-20,2026-03-03,0.5556,0.4686,0.087,7,FLAT
BIIB,2026-03-20,2026-03-03,0.4285,0.3467,0.0818,7,FLAT
CRL,2026-03-20,2026-03-03,0.6039,0.5314,0.0725,7,FLAT
PANW,2026-03-20,2026-03-03,0.5168,0.4465,0.0702,6,FLAT
ABNB,2026-03-20,2026-03-03,0.4633,0.3969,0.0663,6,FLAT
DASH,2026-03-20,2026-03-03,0.6152,0.554,0.0612,6,FLAT
WBD,2026-03-20,2026-03-03,0.1977,0.1464,0.0513,6,FLAT
FFIV,2026-03-20,2026-03-03,0.4106,0.36,0.0506,6,FLAT
CRWD,2026-03-20,2026-03-03,0.716,0.6691,0.0469,6,FLAT
INCY,2026-03-20,2026-03-03,0.4096,0.3704,0.0392,6,FLAT
BRK-B,2026-03-20,2026-03-03,0.237,0.1994,0.0375,5,FLAT
EW,2026-03-20,2026-03-03,0.3251,0.289,0.0361,5,FLAT
FISV,2026-03-20,2026-03-03,0.5385,0.5104,0.028,5,FLAT
FTNT,2026-03-20,2026-03-03,0.4519,0.4273,0.0246,5,FLAT
NOW,2026-03-20,2026-03-03,0.567,0.5424,0.0246,5,FLAT
CPRT,2026-03-20,2026-03-03,0.3943,0.3705,0.0238,5,FLAT
IDXX,2026-03-20,2026-03-03,0.3386,0.322,0.0166,5,FLAT
AZO,2026-03-20,2026-03-03,0.3801,0.3644,0.0157,4,FLAT
SNPS,2026-03-20,2026-03-03,0.5597,0.5703,-0.0106,4,FLAT
PTC,2026-03-20,2026-03-03,0.3891,0.4055,-0.0164,4,FLAT
ORLY,2026-03-20,2026-03-03,0.3029,0.3201,-0.0172,4,FLAT
CMG,2026-03-20,2026-03-03,0.3772,0.4064,-0.0292,4,FLAT
TRMB,2026-03-20,2026-03-03,0.3815,0.413,-0.0315,4,FLAT
LYV,2026-03-20,2026-03-03,0.3227,0.3563,-0.0337,4,FLAT
TDY,2026-03-20,2026-03-03,0.255,0.2896,-0.0346,4,FLAT
AMZN,2026-03-20,2026-03-03,0.3312,0.3733,-0.042,3,FLAT
PODD,2026-03-20,2026-03-03,0.3689,0.4141,-0.0452,3,FLAT
UBER,2026-03-20,2026-03-03,0.3649,0.4157,-0.0508,3,FLAT
HOLX,2026-03-20,2026-03-03,0.0268,0.0868,-0.06,3,FLAT
HSIC,2026-03-20,2026-03-03,0.3372,0.4016,-0.0644,3,FLAT
ISRG,2026-03-20,2026-03-03,0.2704,0.3364,-0.066,3,FLAT
ANET,2026-03-20,2026-03-03,0.5303,0.6,-0.0697,3,FLAT
DXCM,2026-03-20,2026-03-03,0.3672,0.4391,-0.0718,2,FLAT
BLDR,2026-03-20,2026-03-03,0.5118,0.5873,-0.0754,2,FLAT
CHTR,2026-03-20,2026-03-03,0.3856,0.4711,-0.0855,2,FLAT
CNC,2026-03-20,2026-03-03,0.411,0.5037,-0.0927,2,FLAT
CVNA,2026-03-20,2026-03-03,0.6384,0.7349,-0.0966,2,FLAT
ON,2026-03-20,2026-03-03,0.4367,0.5582,-0.1216,2,FLAT
TTD,2026-03-20,2026-03-03,0.5073,0.6366,-0.1293,2,FLAT
TSLA,2026-03-20,2026-03-03,0.3174,0.4533,-0.136,1,SHORT STRADDLE
MTD,2026-03-20,2026-03-03,0.1908,0.3279,-0.1371,1,SHORT STRADDLE
VRTX,2026-03-20,2026-03-03,0.3583,0.4957,-0.1374,1,SHORT STRADDLE
DECK,2026-03-20,2026-03-03,0.2873,0.4487,-0.1613,1,SHORT STRADDLE
LULU,2026-03-20,2026-03-03,0.4759,0.7466,-0.2706,1,SHORT STRADDLE
MRNA,2026-03-20,2026-03-03,0.5253,0.8069,-0.2816,1,SHORT STRADDLE
DLTR,2026-03-20,2026-03-03,0.3664,0.6696,-0.3032,1,SHORT STRADDLE
CIEN,2026-03-20,2026-03-03,0.6334,1.1939,-0.5605,1,SHORT STRADDLE
